date,open,high,low,close,volume,dayOfweek,open_24,close_24
11/06/2015 15:00,123.673,123.684,123.569,123.628,7144,Thursday,123.278,123.239
11/06/2015 16:00,123.63,123.663,123.569,123.637,3316,Thursday,123.239,123.361
11/06/2015 17:00,123.637,123.67,123.541,123.607,3346,Thursday,123.361,123.414
11/06/2015 18:00,123.606,123.606,123.398,123.408,3310,Thursday,123.414,123.442
11/06/2015 19:00,123.408,123.472,123.371,123.407,2819,Thursday,123.442,123.391
11/06/2015 20:00,123.407,123.467,123.331,123.407,2644,Thursday,123.392,123.377
12/06/2015 00:00,123.599,123.619,123.441,123.466,5197,Friday,123.295,123.473
12/06/2015 01:00,123.467,123.545,123.43,123.536,4145,Friday,123.471,123.486
12/06/2015 02:00,123.538,123.539,123.431,123.473,2342,Friday,123.487,123.492
12/06/2015 03:00,123.472,123.506,123.43,123.501,2149,Friday,123.493,123.434
12/06/2015 04:00,123.499,123.511,123.333,123.445,3852,Friday,123.434,123.457
12/06/2015 05:00,123.445,123.496,123.399,123.431,3618,Friday,123.459,123.511
12/06/2015 06:00,123.434,123.571,123.42,123.55,4909,Friday,123.51,123.437
12/06/2015 07:00,123.55,123.718,123.518,123.718,6119,Friday,123.436,123.523
12/06/2015 08:00,123.721,123.814,123.65,123.734,7377,Friday,123.522,123.511
12/06/2015 09:00,123.734,123.797,123.651,123.7,7211,Friday,123.512,123.547
12/06/2015 10:00,123.7,123.794,123.652,123.781,4842,Friday,123.548,123.602
12/06/2015 11:00,123.781,123.784,123.574,123.592,4562,Friday,123.603,123.537
12/06/2015 12:00,123.592,123.735,123.547,123.704,7628,Friday,123.54,123.401
12/06/2015 13:00,123.704,123.764,123.477,123.505,8404,Friday,123.401,123.347
12/06/2015 14:00,123.508,123.627,123.223,123.278,10039,Friday,123.348,123.483
12/06/2015 15:00,123.278,123.357,123.141,123.239,8568,Friday,123.484,123.39
12/06/2015 16:00,123.239,123.386,123.223,123.361,4766,Friday,123.389,123.439
12/06/2015 17:00,123.361,123.421,123.341,123.414,2457,Friday,123.439,123.477
12/06/2015 18:00,123.414,123.533,123.362,123.442,3462,Friday,123.475,123.389
12/06/2015 19:00,123.442,123.466,123.377,123.391,2948,Friday,123.389,123.385
12/06/2015 20:00,123.392,123.435,123.338,123.377,1669,Friday,123.381,123.407
15/06/2015 00:00,123.295,123.505,123.295,123.473,5090,Monday,123.422,123.422
15/06/2015 01:00,123.471,123.557,123.444,123.486,4680,Monday,123.422,123.541
